price,m2,district
2990000,162,5
1236000,134,10
540000,53,2
995000,90,3
249000,15,3
300700,65,5
826250,111,6
400000,56,6
205250,35,7
147620,17,4
800000,63,4
415000,52,5
139500,10,3
1668000,161,10
360000,25,4
1182000,98,9
300700,65,5
495000,31,3
85000,7,4
468000,33,8
850000,71,3
350000,35,10
675000,51,6
735000,105,10
250000,21,5
51000,12,9
1236000,134,10
245000,24,5
59900,6,9
740000,80,10
499000,51,10
600000,40,5
540000,65,10
135000,9,7
700000,73,8
489000,47,10
15000,14,19
220000,24,16
545000,38,6
29500,12,18
725000,65,15
230000,26,18
259800,31,12
1600000,118,8
325000,32,14
235000,23,15
286200,34,18
85000,6,15
19000,6,5
238000,24,17
249000,17,17
170000,16,11
999000,95,15
2950000,194,13
1477142,157,11
1150000,98,9
102000,9,16
275000,34,19